# rel_path	sha256	size_bytes	source_path
# Written by snapshot_results.py. `--check` re-hashes against this file, so a
# snapshot can be audited against the store it came from.
ramole/runs/ramole_l32_3b_d0/results/router_keys_iid.json	f6e08cca1e684766747493b25e8ae2c6a37c6b4e55bc02a7c7e8b3e7433a02b9	42582	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_d0/results/router_keys_iid.json
ramole/runs/ramole_l32_3b_d0/results/router_keys_ood.json	9a5b6841a084e93a57fd9eaf3b6fc697d0e9374e37432fe0005260f6b2326e84	42582	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_d0/results/router_keys_ood.json
ramole/runs/ramole_l32_3b_d0/results/router_retriever_iid.json	bc755de702b5b39f320683f67d2796022afa6623608873d3c627905ad95afeab	42705	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_d0/results/router_retriever_iid.json
ramole/runs/ramole_l32_3b_d0/results/router_retriever_ood.json	ae0d16ebe61ef9764ebefcea55a7bbd81a2857b18b495c71d009d5a47d29ad94	42695	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_d0/results/router_retriever_ood.json
ramole/runs/ramole_l32_3b_n32_k3/results/alpha_diag_keys.json	b48f6ddea0370ab17081a7f0f044f936b60fac827f8f46ab04005fb09b4eaf59	66053	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/alpha_diag_keys.json
ramole/runs/ramole_l32_3b_n32_k3/results/alpha_diag_keys_d0.json	b1fb935aa291ac6fa59f27238d5f840e429e10c1e02147faabd82e43a9591509	66125	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/alpha_diag_keys_d0.json
ramole/runs/ramole_l32_3b_n32_k3/results/alpha_diag_retriever.json	cb8ecc460fc8c3523531da3e6b6a0e148aedc9080ac4aea1e5b5d8a94239f182	65998	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/alpha_diag_retriever.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_keys_iid.json	18555aeece6b5a3db17b19b12cb6af4c151da54c05863471045875018d3f8eb7	42711	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_keys_iid.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_keys_iid_k5.json	83837cdadb0f8cf3f31feb01743508eb7c9e4b0a0343ffb4f153927477316ad0	42664	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_keys_iid_k5.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_keys_iid_k8.json	9625880937795bd6400a2bbc1c88ccc5257cef9588cecbf407d7b95b5eba729f	42555	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_keys_iid_k8.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d0_after.json	db3c6384d282c60647fe651e7ef352ab4c33b8651f5315ce5cdea58de37b65bb	576	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d0_after.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d0_before.json	04f63aad4db6ecfa129f06fc7e844f6e3d8cd4f4373eeb3bc33cb92d3d7bc5a6	575	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d0_before.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d1_after.json	a421f27e952afcf5ef1b1f3cb60f554762082178071cb72cc6601d125d0a0f32	576	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d1_after.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d1_before.json	f9cc8c6cbd066a91cd1c11d5128b68fc3d3f36542bf02dbcd3c30672122bb210	575	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d1_before.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d2_after.json	d0cb5e988d126e31dc4fc23f7af858c333e0713a8647483f06e1f998025c67cc	570	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d2_after.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d2_before.json	e90bd7b46b92bc64ab6256a6cd471ec7a5041eb6228a8f5212cc31efa370fb15	573	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d2_before.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d_batch15_after.json	5b7512b42ab414ed992d4275d03bdc128119e0ba6b90125a1dac9d87498bb844	3566	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d_batch15_after.json
ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d_batch15_before.json	edc163ab15e929230c34fc670e06b50167f09ac8aa6a3a7063342542f70fb307	3626	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/mean_unlearn_d_batch15_before.json
ramole/runs/ramole_l32_3b_n32_k3/results/perfect.json	a02706ae2f5cd9a56912b927533333a4923e60b6b890b50974310025fc539143	42699	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/perfect.json
ramole/runs/ramole_l32_3b_n32_k3/results/retrieval_accuracy.json	c287c4b538e783ce5c3110c66324acd06ac6807e597a6664a8defc6236c9d774	374	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/retrieval_accuracy.json
ramole/runs/ramole_l32_3b_n32_k3/results/rl_family_dbpedia.json	43dabbdc19e53e50d4ac95e06bb957d8d3c51b1188d580a51f334589e31d57a3	42555	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/rl_family_dbpedia.json
ramole/runs/ramole_l32_3b_n32_k3/results/rl_family_dbpedia.sims.npz	af7d1f10e4da6717635aefc6fbe10c0a4e898d355fbb76565c503bdf3bd0b5b9	28434	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/rl_family_dbpedia.sims.npz
ramole/runs/ramole_l32_3b_n32_k3/results/router_keys_iid.json	96220740b460844635282c4674d584d6760d0b549d6f466ccc9be2cf5e322581	42652	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_keys_iid.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_keys_iid_k5.json	3f158bdefe0041acbab1dd9972403e2ab7620b53b4d17e2bf7573d67270fbfa8	42763	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_keys_iid_k5.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_keys_iid_k8.json	a56bb7d7cde6fdb998394b17a815c47f8a9ab25d007587cb4e06a9acb46493cc	42561	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_keys_iid_k8.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_retriever_iid.json	675b2ad999f29022eede79dd063ed500770e934d3beab1b292541c2ca3c0cf36	42566	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_retriever_iid.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_retriever_ood.json	22173fcc8b4a3f8ca06f9c658db9e6dab90a84ec4c686e7c629439d4e42d465c	42721	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_retriever_ood.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d0_after.json	2c00349a79c057ce46ac3ba66a5ed9ae6d3263072fe124a10fbdcce298bbee93	578	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d0_after.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d0_after_rebuilt.json	6645b8baeebc08ea9e8dcb76b9c8cae9c6d3d55ee07eff3cba69ff2483755281	586	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d0_after_rebuilt.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d0_before.json	73f68d04d8b1d20f9acfefae9110016a79ff801c8cf3dc87451fc67dc6c39370	581	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d0_before.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d1_after.json	e5c8e5d1d071342ab79c0d6c511b24524c2598d708dadc3fc47a0a87d0369092	576	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d1_after.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d1_after_rebuilt.json	39840d65c8140e1ac6072b921629cac07573b9634d6e8bd9c6f55bc64a26cbd7	584	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d1_after_rebuilt.json
ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d1_before.json	d1f38960827d060e2ca5f41df8ec456275d528382d90ce6fa3d779c72aae74c3	581	/storage2/jack/checkpoints/ramole/runs/ramole_l32_3b_n32_k3/results/router_unlearn_d1_before.json
